"species","long","lat"
"Larus.graellsi",17.447724,61.98431
"Larus.graellsi",11.575449,58.392383
"Larus.graellsi",16.254584,57.510713
"Larus.graellsi",17.434144,61.535426
"Larus.graellsi",16.716569,58.401603
"Larus.graellsi",12.961544,56.601964
"Larus.graellsi",12.000154,57.038084
"Larus.graellsi",13.031194,55.255055
"Larus.graellsi",12.000154,57.487148
"Larus.graellsi",16.239359,57.061679
"Larus.graellsi",17.408289,60.637561
"Larus.graellsi",16.633939,56.605994
"Larus.graellsi",17.169284,58.846013
"Larus.graellsi",20.480234,64.249354
"Larus.graellsi",19.497734,63.34504
"Larus.graellsi",14.595194,56.168714
"Larus.graellsi",11.580709,57.943263
"Larus.graellsi",18.000154,58.834158
"Larus.graellsi",17.078709,57.275329
"Larus.graellsi",17.476279,62.882
"Larus.graellsi",18.000154,59.283082
"Larus.graellsi",16.320284,59.306507
"Larus.graellsi",16.694979,57.952758
"Larus.graellsi",16.435659,61.99917
"Larus.graellsi",17.421009,61.086506
"Larus.graellsi",18.524029,62.882
"Larus.graellsi",18.602573,60.188587
"Larus.graellsi",17.197834,59.294707
"Larus.graellsi",18.414489,57.494103
"Larus.graellsi",18.885579,57.948513
"Larus.graellsi",20.488594,63.800689
"Larus.graellsi",18.616269,59.739617
"Larus.graellsi",18.409524,57.044919
"Larus.graellsi",22.660009,66.035873
"Larus.graellsi",19.473834,63.793594
"Larus.graellsi",15.809939,56.164819
"Larus.graellsi",21.537749,65.146598
"Larus.graellsi",22.631264,65.587488
"Larus.graellsi",18.802474,59.294702
"Larus.graellsi",23.574999,65.798498
"Larus.graellsi",17.461759,62.43317
"Larus.graellsi",21.528749,64.697994
"Larus.graellsi",21.520074,64.249354
"Larus.graellsi",18.509004,63.3308
"Larus.graellsi",21.547094,65.595173
"Larus.graellsi",-20.488286,63.800689
"Larus.graellsi",-19.473526,63.793594
"Larus.graellsi",-22.576626,64.690609
"Larus.graellsi",-18.493136,63.779574
"Larus.graellsi",-23.539381,64.901194
"Larus.graellsi",-22.630956,65.587488
"Larus.graellsi",-22.603286,65.139063
"Larus.graellsi",-18.425001,65.574373
"Larus.graellsi",-22.526166,63.793594
"Larus.graellsi",-17.556706,65.125713
"Larus.graellsi",-21.546786,65.595173
"Larus.graellsi",-22.659701,66.035873
"Larus.graellsi",-21.511406,63.800689
"Larus.graellsi",-21.519766,64.249354
"Larus.graellsi",-20.452906,65.595173
"Larus.graellsi",-16.526166,63.793594
"Larus.graellsi",-14.452906,65.595173
"Larus.graellsi",-19.339991,66.035873
"Larus.graellsi",-21.537441,65.146598
"Larus.graellsi",-9.306071,42.676697
"Larus.graellsi",-14.471251,64.697994
"Larus.graellsi",-19.368736,65.587488
"Larus.graellsi",-20.496351,63.352
"Larus.graellsi",-9.291656,39.523958
"Larus.graellsi",-21.528441,64.697994
"Larus.graellsi",-17.593361,66.023003
"Larus.graellsi",-8.693621,42.676697
"Larus.graellsi",-8.691366,43.126946
"Larus.graellsi",-17.574691,65.574373
"Larus.graellsi",-15.519766,64.249354
"Larus.graellsi",-18.508696,63.3308
"Larus.graellsi",-9.363191,51.674892
"Larus.graellsi",-18.406331,66.023003
"Larus.graellsi",-8.636501,51.674892
"Larus.graellsi",-10.156326,54.36671
"Larus.graellsi",-17.506556,63.779574
"Larus.graellsi",-10.143841,53.917426
"Larus.graellsi",-19.497426,63.34504
"Larus.graellsi",-16.659701,66.035873
"Larus.graellsi",-10.086206,51.670457
"Larus.graellsi",-8.695826,42.226412
"Larus.graellsi",-8.069846,43.573816
"Larus.graellsi",-9.386781,54.371595
"Larus.graellsi",-20.479926,64.249354
"Larus.graellsi",-8.208586,55.266455
"Larus.graellsi",-10.097131,52.119922
"Larus.graellsi",-7.843366,54.36671
"Larus.graellsi",-8.689061,43.577156
"Larus.graellsi",-6.339516,54.792255
"Larus.graellsi",-9.378491,53.472831
"Larus.graellsi",-7.906141,51.895207
"Larus.graellsi",-7.830526,54.81596
"Larus.graellsi",-7.855851,53.917426
"Larus.graellsi",-6.326576,55.241485
"Larus.graellsi",-8.608596,54.82093
"Larus.graellsi",-14.462251,65.146598
"Larus.graellsi",-8.612911,54.371595
"Larus.graellsi",-9.308326,43.126946
"Larus.graellsi",-10.108346,52.569356
"Larus.graellsi",-8.625181,53.023401
"Larus.graellsi",-8.617116,53.922231
"Larus.graellsi",-7.052826,54.80601
"Larus.graellsi",-2.017011,46.723925
"Larus.graellsi",-6.364351,53.893696
"Larus.graellsi",-6.563746,49.851398
"Larus.graellsi",-2.069846,43.573816
"Larus.graellsi",-10.131691,53.468106
"Larus.graellsi",-7.074166,54.356925
"Larus.graellsi",-6.299586,56.139849
"Larus.graellsi",-7.153941,52.560181
"Larus.graellsi",-8.632826,52.124427
"Larus.graellsi",-6.387881,52.994996
"Larus.graellsi",-9.374511,53.023401
"Larus.graellsi",-6.376271,53.444361
"Larus.graellsi",-6.285511,56.588984
"Larus.graellsi",-5.999846,58.385183
"Larus.graellsi",-6.911341,57.499703
"Larus.graellsi",-7.018921,62.438265
"Larus.graellsi",-7.030886,55.255055
"Larus.graellsi",-3.334031,47.627469
"Larus.graellsi",-7.745416,57.510713
"Larus.graellsi",-7.760641,57.061679
"Larus.graellsi",-8.621201,53.472831
"Larus.graellsi",-6.313271,55.690684
"Larus.graellsi",-6.858406,58.397283
"Larus.graellsi",-5.999846,57.936188
"Larus.graellsi",-2.076716,43.123656
"Larus.graellsi",-4.538821,54.13611
"Larus.graellsi",-0.781826,44.906545
"Larus.graellsi",-2.665661,47.627469
"Larus.graellsi",-5.226441,52.101867
"Larus.graellsi",-6.961236,56.601964
"Larus.graellsi",-4.946866,54.80601
"Larus.graellsi",-7.115126,53.458631
"Larus.graellsi",-8.304821,70.976009
"Larus.graellsi",-3.374511,53.023401
"Larus.graellsi",-7.868001,53.468106
"Larus.graellsi",-5.219286,51.652307
"Larus.graellsi",-3.331176,47.177574
"Larus.graellsi",-2.689061,43.577156
"Larus.graellsi",-1.362916,46.71646
"Larus.graellsi",-5.538521,50.076083
"Larus.graellsi",-1.376376,46.26667
"Larus.graellsi",-7.025946,61.764716
"Larus.graellsi",-6.885271,57.948513
"Larus.graellsi",-5.686421,55.690684
"Larus.graellsi",-4.773991,50.762812
"Larus.graellsi",-4.757181,50.313378
"Larus.graellsi",-3.391096,54.82093
"Larus.graellsi",-3.999471,47.623624
"Larus.graellsi",-4.679176,48.065594
"Larus.graellsi",-2.008721,47.173794
"Larus.graellsi",-3.363191,51.674892
"Larus.graellsi",-1.973456,48.972898
"Larus.graellsi",-4.968806,55.255055
"Larus.graellsi",-3.705516,50.322913
"Larus.graellsi",-4.694011,48.515229
"Larus.graellsi",-4.097131,52.119922
"Larus.graellsi",-5.660176,54.792255
"Larus.graellsi",-3.356121,50.775707
"Larus.graellsi",-4.991361,55.704064
"Larus.graellsi",-4.017096,48.523179
"Larus.graellsi",-3.359611,51.225317
"Larus.graellsi",-6.269608,57.038084
"Larus.graellsi",-2.999846,53.922231
"Larus.graellsi",-4.108346,52.569356
"Larus.graellsi",-4.075561,51.220952
"Larus.graellsi",-3.386781,54.371595
"Larus.graellsi",-4.506131,53.243446
"Larus.graellsi",-3.378491,53.472831
"Larus.graellsi",-1.982596,48.523179
"Larus.graellsi",-5.673116,55.241485
"Larus.graellsi",-4.195931,55.714349
"Larus.graellsi",-4.065186,50.771417
"Larus.graellsi",-2.643571,50.775707
"Larus.graellsi",-0.431371,51.197207
"Larus.graellsi",-1.439641,54.80978
"Larus.graellsi",-3.343026,48.976933
"Larus.graellsi",-4.169166,54.81596
"Larus.graellsi",-3.400106,55.719489
"Larus.graellsi",-1.422021,55.25889
"Larus.graellsi",-1.305681,48.515229
"Larus.graellsi",-1.902561,52.119922
"Larus.graellsi",-3.436091,58.863398
"Larus.graellsi",-1.868001,53.468106
"Larus.graellsi",-2.625181,53.023401
"Larus.graellsi",-1.134791,53.009426
"Larus.graellsi",-2.636501,51.674892
"Larus.graellsi",-1.934506,50.771417
"Larus.graellsi",-5.999846,57.487148
"Larus.graellsi",-4.864901,53.009426
"Larus.graellsi",-2.640081,51.225317
"Larus.graellsi",-1.957621,49.647423
"Larus.graellsi",-3.441881,59.312402
"Larus.graellsi",-5.141286,58.397283
"Larus.graellsi",-2.608596,54.82093
"Larus.graellsi",-2.659741,48.527144
"Larus.graellsi",-2.632826,52.124427
"Larus.graellsi",-4.254276,57.510713
"Larus.graellsi",-2.653516,49.426678
"Larus.graellsi",-0.364351,53.893696
"Larus.graellsi",-5.700101,56.139849
"Larus.graellsi",1.154249,52.560181
"Larus.graellsi",-5.714181,56.588984
"Larus.graellsi",-3.414621,57.067074
"Larus.graellsi",-0.470048,49.398938
"Larus.graellsi",-2.563601,58.863398
"Larus.graellsi",-1.265201,49.639173
"Larus.graellsi",-2.199456,55.715654
"Larus.graellsi",-5.114421,57.948513
"Larus.graellsi",-5.038456,56.601964
"Larus.graellsi",-3.339951,48.527144
"Larus.graellsi",-2.579941,57.516208
"Larus.graellsi",0.388189,52.994996
"Larus.graellsi",-4.239051,57.061679
"Larus.graellsi",-1.290471,48.964823
"Larus.graellsi",-0.734501,54.34917
"Larus.graellsi",1.208759,51.212217
"Larus.graellsi",-2.557811,59.312402
"Larus.graellsi",-4.269966,57.959713
"Larus.graellsi",-4.286131,58.408678
"Larus.graellsi",-4.209891,56.163499
"Larus.graellsi",-3.419751,57.516208
"Larus.graellsi",-1.745416,57.510713
"Larus.graellsi",0.441864,50.747677
"Larus.graellsi",1.536144,52.114317
"Larus.graellsi",6.376579,53.444361
"Larus.graellsi",1.259209,49.863898
"Larus.graellsi",0.462042,49.848532
"Larus.graellsi",0.670419,47.604364
"Larus.graellsi",-0.591711,60.637561
"Larus.graellsi",1.927839,50.996202
"Larus.graellsi",-1.624821,60.652991
"Larus.graellsi",5.568629,51.197207
"Larus.graellsi",5.623729,53.444361
"Larus.graellsi",-1.320516,48.065594
"Larus.graellsi",-3.430476,58.414368
"Larus.graellsi",5.179574,61.951571
"Larus.graellsi",1.191059,51.661577
"Larus.graellsi",-1.190141,60.196607
"Larus.graellsi",1.592299,50.316583
"Larus.graellsi",0.928764,40.632033
"Larus.graellsi",5.390064,60.159972
"Larus.graellsi",1.891654,52.569356
"Larus.graellsi",0.399489,52.545596
"Larus.graellsi",1.135099,53.009426
"Larus.graellsi",0.46879,49.398883
"Larus.graellsi",3.363499,51.674892
"Larus.graellsi",5.339974,60.607956
"Larus.graellsi",3.359919,51.225317
"Larus.graellsi",6.610779,61.986
"Larus.graellsi",4.086514,51.670457
"Larus.graellsi",8.613219,54.371595
"Larus.graellsi",5.965704,58.828613
"Larus.graellsi",4.097439,52.119922
"Larus.graellsi",5.925819,59.276992
"Larus.graellsi",5.579084,51.646702
"Larus.graellsi",4.865209,53.009426
"Larus.graellsi",7.856159,53.917426
"Larus.graellsi",5.234809,61.503761
"Larus.graellsi",-1.661991,59.755372
"Larus.graellsi",6.537969,62.88277
"Larus.graellsi",4.809249,51.661577
"Larus.graellsi",4.846059,52.560181
"Larus.graellsi",6.728269,46.25564
"Larus.graellsi",4.884874,53.458631
"Larus.graellsi",5.101584,58.805428
"Larus.graellsi",9.511714,63.800689
"Larus.graellsi",5.050424,59.253402
"Larus.graellsi",8.617424,53.922231
"Larus.graellsi",5.288249,61.055886
"Larus.graellsi",5.122459,62.399325
"Larus.graellsi",6.885579,57.948513
"Larus.graellsi",7.115434,53.458631
"Larus.graellsi",6.645384,61.537551
"Larus.graellsi",8.604459,55.270225
"Larus.graellsi",7.804069,55.714349
"Larus.graellsi",5.438589,59.711932
"Larus.graellsi",6.858714,58.397283
"Larus.graellsi",6.004384,58.380183
"Larus.graellsi",10.991669,55.704064
"Larus.graellsi",7.095229,53.907796
"Larus.graellsi",10.196239,55.714349
"Larus.graellsi",8.504444,62.903275
"Larus.graellsi",8.595194,56.168714
"Larus.graellsi",8.599894,55.719489
"Larus.graellsi",8.608904,54.82093
"Larus.graellsi",7.790109,56.163499
"Larus.graellsi",11.088659,57.499703
"Larus.graellsi",7.713869,58.408678
"Larus.graellsi",10.969114,55.255055
"Larus.graellsi",12.425309,65.574373
"Larus.graellsi",8.569524,58.414368
"Larus.graellsi",8.574964,57.965303
"Larus.graellsi",7.730034,57.959713
"Larus.graellsi",10.320284,59.306507
"Larus.graellsi",10.338009,59.755372
"Larus.graellsi",9.414929,57.067074
"Larus.graellsi",9.436399,58.863398
"Larus.graellsi",11.660484,54.792255
"Larus.graellsi",8.590354,56.617914
"Larus.graellsi",11.673424,55.241485
"Larus.graellsi",6.574994,62.434405
"Larus.graellsi",6.711264,60.640536
"Larus.graellsi",11.386973,59.739577
"Larus.graellsi",9.503649,63.352
"Larus.graellsi",10.576934,64.690609
"Larus.graellsi",7.520814,62.89645
"Larus.graellsi",9.430784,58.414368
"Larus.graellsi",10.254584,57.510713
"Larus.graellsi",11.574999,65.574373
"Larus.graellsi",11.014879,56.153029
"Larus.graellsi",12.000154,66.920167
"Larus.graellsi",8.496659,63.352
"Larus.graellsi",7.543104,62.447825
"Larus.graellsi",7.497734,63.34504
"Larus.graellsi",9.520074,64.249354
"Larus.graellsi",16.858859,68.725501
"Larus.graellsi",11.197834,59.294707
"Larus.graellsi",15.395849,55.270225
"Larus.graellsi",16.947174,54.80601
"Larus.graellsi",14.604459,55.270225
"Larus.graellsi",12.831024,58.846013
"Larus.graellsi",12.406639,66.023003
"Larus.graellsi",11.714489,56.588984
"Larus.graellsi",13.340299,66.035873
"Larus.graellsi",12.387239,66.471597
"Larus.graellsi",8.488594,63.800689
"Larus.graellsi",10.603594,65.139063
"Larus.graellsi",10.502574,63.34504
"Larus.graellsi",11.613069,66.471602
