"long","lat","Protea.laurifolia"
19.159958,-33.896252,1
19.154094,-33.891036,1
18.641188,-32.791508,1
18.64022,-32.803683,1
19.168667,-33.948319,1
19.157785,-33.90449,1
19.725292,-33.616519,1
19.723314,-33.616167,1
19.724186,-33.616534,1
18.435867,-33.94365,1
19.043978,-31.37138,1
19.158456,-33.925678,1
18.875058,-33.9318,1
19.148253,-33.932992,1
18.882033,-33.965897,1
19.290164,-33.231756,1
19.155994,-32.46763,1
19.212257,-33.069771,1
19.199512,-32.902504,1
19.437222,-33.580887,1
19.282959,-33.387736,1
18.643612,-33.841683,1
18.944996,-33.903248,1
19.22259,-32.67208,1
19.057707,-33.673521,1
18.826538,-31.736792,1
19.635948,-33.971878,1
18.884722,-34.166389,1
18.643846,-33.840662,1
18.430875,-34.081236,1
18.403181,-33.948166,1
18.403858,-33.948625,1
18.430822,-34.081203,1
18.398936,-33.948339,1
18.411925,-33.951881,1
18.394714,-33.939038,1
18.394639,-33.938644,1
18.375231,-34.194252,1
18.431015,-34.080726,1
18.633965,-33.834398,1
18.403933,-33.948798,1
18.943613,-34.104442,1
18.430329,-34.07955,1
18.87218,-34.065719,1
19.279892,-32.540887,1
19.270886,-32.539373,1
19.06863,-32.91129,1
19.058297,-33.674904,1
18.394425,-33.939702,1
19.480658,-32.924633,1
19.133426,-33.519633,1
19.047285,-33.858325,1
18.441198,-33.949062,1
18.440966,-33.949355,1
19.041604,-32.904954,1
18.852789,-33.375942,1
19.017643,-33.874882,1
18.461401,-33.937862,1
18.403113,-33.948454,1
19.135261,-31.732225,1
18.579682,-32.77256,1
18.867324,-33.367544,1
18.884369,-33.392867,1
18.394843,-33.935713,1
20.076073,-33.609356,1
18.451389,-33.950801,1
18.960919,-32.135015,1
19.059348,-33.677291,1
19.059898,-33.677313,1
18.775905,-33.567213,1
18.78954,-33.571841,1
18.88294,-31.778747,1
20.494093,-33.358419,1
18.416844,-33.949055,1
20.49784,-33.348634,1
18.783743,-31.803133,1
19.14895,-32.6301,1
19.055427,-32.10535,1
19.037198,-32.905944,1
19.045008,-32.90265,1
19.192974,-32.446035,1
18.992517,-34.001564,1
19.159286,-33.896852,1
19.06677,-33.679545,1
18.399275,-33.944289,1
19.160868,-32.196788,1
18.848004,-34.17551,1
19.056237,-33.67399,1
19.055035,-33.671243,1
19.056301,-33.670728,1
19.062765,-33.672518,1
19.059155,-33.679341,1
19.155658,-33.904695,1
19.148383,-33.909142,1
18.839117,-32.511192,1
19.659774,-33.420358,1
18.682887,-32.807583,1
